location	LR	alpha
0.000070	1.507540	3.386731e+02
0.010170	1.354167	3.608698e+02
0.020270	0.000000	1.200000e+03
0.030369	0.000000	1.200000e+03
0.040469	0.000000	1.200000e+03
0.050569	0.005072	5.367938e+02
0.060669	0.552806	3.245997e+02
0.070769	0.222208	4.087516e+02
0.080868	0.000000	1.200000e+03
0.090968	0.000000	1.200000e+03
0.101068	1.429984	3.060936e+02
0.111168	1.248525	2.496491e+02
0.121268	0.221155	3.722514e+02
0.131367	0.000000	1.200000e+03
0.141467	3.401255	9.182116e+01
0.151567	0.373287	1.462864e+02
0.161667	2.621368	1.323197e+02
0.171767	3.570819	2.409229e+02
0.181866	3.289436	1.712805e+02
0.191966	2.631696	1.446027e+02
0.202066	1.750880	1.812004e+02
0.212166	0.380778	4.120098e+02
0.222266	0.000289	6.194072e+02
0.232365	0.000000	1.200000e+03
0.242465	0.000000	1.200000e+03
0.252565	0.000000	1.200000e+03
0.262665	0.000733	6.280410e+02
0.272765	0.089128	4.493553e+02
0.282864	0.055298	4.670322e+02
0.292964	0.195707	4.198495e+02
0.303064	0.946307	2.666454e+02
0.313164	1.686506	2.660827e+02
0.323264	0.052230	4.537309e+02
0.333363	0.000000	1.200000e+03
0.343463	0.000000	1.200000e+03
0.353563	1.800753	1.102418e+02
0.363663	3.113427	2.043875e+02
0.373763	2.078656	2.351164e+02
0.383862	0.356724	3.770649e+02
0.393962	0.000000	1.200000e+03
0.404062	0.000000	1.200000e+03
0.414162	0.000000	1.200000e+03
0.424262	0.000000	1.200000e+03
0.434361	0.000000	1.200001e+03
0.444461	1.404553	1.912714e+02
0.454561	3.495594	2.781059e+02
0.464661	2.163305	2.554332e+02
0.474761	0.000000	1.200000e+03
0.484860	0.000000	1.200000e+03
0.494960	0.000000	1.200000e+03
0.505060	0.000000	1.200000e+03
0.515160	0.000019	7.412952e+02
0.525259	0.000000	1.200000e+03
0.535359	0.000000	1.200000e+03
0.545459	0.077633	2.319037e+02
0.555559	0.378918	3.880232e+02
0.565659	0.000320	5.999623e+02
0.575758	0.000000	1.200000e+03
0.585858	0.000000	1.200000e+03
0.595958	0.000001	9.377816e+02
0.606058	0.028769	4.771108e+02
0.616158	0.012783	4.793968e+02
0.626257	0.000000	1.200000e+03
0.636357	0.097863	4.648296e+02
0.646457	0.040425	5.035540e+02
0.656557	0.000000	1.200000e+03
0.666657	0.000000	1.200000e+03
0.676756	0.000002	8.473184e+02
0.686856	0.091188	4.633223e+02
0.696956	1.987519	1.762004e+02
0.707056	12.226765	4.290497e+01
0.717156	49.405407	3.601212e+01
0.727255	82.100376	2.881461e+01
0.737355	156.743011	1.593827e+01
0.747455	204.252409	1.340041e+01
0.757555	206.468828	1.162120e+01
0.767655	185.748917	1.123061e+01
0.777754	130.799558	1.264972e+01
0.787854	69.396196	1.871868e+01
0.797954	8.991920	3.139788e+01
0.808054	0.000000	1.200000e+03
0.818154	0.000000	1.114583e+03
0.828253	0.000000	1.200000e+03
0.838353	0.000000	1.200000e+03
0.848453	0.000000	1.200000e+03
0.858553	0.204216	3.612898e+02
0.868653	0.442081	3.640496e+02
0.878752	2.307707	1.207496e+02
0.888852	4.818386	1.199897e+02
0.898952	11.583220	9.992075e+01
0.909052	9.705053	1.282484e+02
0.919152	7.034522	1.836480e+02
0.929251	2.621329	1.481091e+02
0.939351	0.014514	4.897546e+02
0.949451	0.000000	1.200000e+03
0.959551	0.005999	4.341755e+02
0.969651	0.779430	3.564899e+02
0.979750	1.249806	3.399578e+02
0.989850	1.438523	3.306472e+02
0.999950	2.141133	2.487861e+02
