location	LR	alpha
50.000000	0.000000	1.200000e+03
10149.696970	0.158003	1.402182e-02
20249.393939	0.000000	1.980001e+01
30349.090909	0.067306	1.287885e-02
40448.787879	0.219317	1.055479e-02
50548.484848	0.102070	3.314708e-02
60648.181818	0.000000	6.600000e-01
70747.878788	0.096672	6.061334e-02
80847.575758	0.783237	1.262702e-02
90947.272727	0.108219	4.573556e-02
101046.969697	0.254715	2.208924e-03
111146.666667	0.202419	2.614274e-01
121246.363636	0.033173	2.686451e-02
131346.060606	0.118270	1.470607e-01
141445.757576	0.855628	2.739989e-03
151545.454545	0.000000	2.640000e-01
161645.151515	0.000000	2.175825e-01
171744.848485	0.000000	7.920002e-01
181844.545455	0.268401	4.960191e-03
191944.242424	0.005730	6.046646e-02
202043.939394	0.051387	2.181796e-01
212143.636364	0.000000	1.281554e-01
222243.333333	0.242235	3.853839e-03
232343.030303	0.003182	5.524767e-02
242442.727273	1.444464	1.166892e-02
252542.424242	1.923684	4.853130e-03
262642.121212	0.000000	1.523077e+00
272741.818182	0.692919	1.932658e-02
282841.515152	0.000000	1.311258e-01
292941.212121	0.055796	2.719824e-03
303040.909091	0.000000	1.320000e+01
313140.606061	0.962761	5.269211e-03
323240.303030	0.539842	2.152825e-02
333340.000000	1.757241	1.388676e-02
343439.696970	0.675834	2.777265e-03
353539.393939	0.269114	4.539625e-02
363639.090909	0.083147	1.633486e-02
373738.787879	0.019238	1.481839e-01
383838.484848	0.000000	1.752213e-01
393938.181818	0.000000	2.490567e-01
404037.878788	0.056319	8.383771e-02
414137.575758	0.000000	8.131419e-02
424237.272727	0.158949	4.793747e-03
434336.969697	1.233017	5.585240e-04
444436.666667	0.000000	1.384616e-01
454536.363636	0.534028	2.769647e-02
464636.060606	0.599130	1.460561e-02
474735.757576	0.125724	2.012149e-01
484835.454545	0.000000	7.764706e-01
494935.151515	0.712965	1.117502e-02
505034.848485	0.031877	4.818637e-02
515134.545455	0.175019	6.615815e-03
525234.242424	0.870244	3.918338e-03
535333.939394	0.000000	1.053192e-01
545433.636364	1.911545	4.235267e-03
555533.333333	0.118274	1.229932e-01
565633.030303	1.250181	1.140873e-03
575732.727273	0.111576	1.840951e-02
585832.424242	0.734344	3.630485e-03
595932.121212	0.051460	5.434841e-03
606031.818182	1.801462	5.754901e-03
616131.515152	0.008355	1.590209e-01
626231.212121	0.232315	5.475525e-02
636330.909091	0.245122	1.129848e+00
646430.606061	2.088283	1.186347e-03
656530.303030	0.000000	2.414635e-01
666630.000000	0.442865	9.644140e-03
676729.696970	2.192690	7.859730e-03
686829.393939	0.364064	1.502814e-02
696929.090909	0.076858	8.692371e-03
707028.787879	0.000000	3.844661e-01
717128.484848	0.079272	2.918005e-02
727228.181818	0.408568	4.883858e-03
737327.878788	21.828394	6.115982e-05
747427.575758	13.783072	5.273948e-05
757527.272727	6.021630	7.966249e-04
767626.969697	126.263613	1.630076e-05
777726.666667	74.341214	4.121092e-05
787826.363636	172.862140	7.711205e-06
797926.060606	229.805133	6.971636e-06
808025.757576	95.763161	8.195741e-06
818125.454545	86.195703	9.837846e-06
828225.151515	0.640512	2.218688e-03
838324.848485	0.950158	5.918851e-03
848424.545455	1.609185	2.806364e-03
858524.242424	0.010454	5.348433e-02
868623.939394	0.000000	5.823530e-02
878723.636364	24.104290	5.119225e-05
888823.333333	31.962763	1.104085e-04
898923.030303	0.816177	2.636216e-02
909022.727273	7.227551	8.182582e-05
919122.424242	1.398382	2.250252e-02
929222.121212	0.218819	2.458056e-02
939321.818182	5.624807	4.649066e-04
949421.515152	0.000000	4.771085e+00
959521.212121	1.499918	3.632433e-03
969620.909091	3.452717	9.154817e-04
979720.606061	0.003535	4.874582e-02
989820.303030	0.604754	4.075683e-03
999920.000000	0.000000	1.200000e+03
